account_age,no_follower,no_following,no_userfavourites,no_lists,no_tweets,no_retweets,no_hashtag,no_usermention,no_urls,no_char,no_digits,class
242.0,0.0,0.0,0.0,0.0,62.0,0.0,1.0,0.0,1.0,29.0,0.0,spammer
834.0,1.0,5.0,0.0,0.0,64.0,0.0,1.0,0.0,1.0,22.0,0.0,spammer
978.0,44.0,18.0,0.0,0.0,114.0,0.0,1.0,0.0,1.0,35.0,0.0,spammer
490.0,0.0,26.0,0.0,0.0,3840.0,0.0,1.0,0.0,1.0,38.0,0.0,spammer
248.0,0.0,0.0,0.0,0.0,72.0,0.0,1.0,0.0,1.0,42.0,4.0,spammer
123.0,2.0,611.0,0.0,0.0,319.0,0.0,0.0,0.0,1.0,31.0,0.0,spammer
303.0,13840.0,138.0,78.0,13.0,6352.0,24.0,0.0,1.0,1.0,79.0,1.0,spammer
206.0,0.0,14.0,0.0,0.0,65.0,0.0,1.0,0.0,1.0,30.0,0.0,spammer
333.0,0.0,0.0,0.0,0.0,63.0,0.0,1.0,0.0,1.0,26.0,0.0,spammer
1277.0,1.0,21.0,5.0,0.0,125.0,0.0,1.0,0.0,1.0,24.0,0.0,spammer
804.0,35.0,29.0,1.0,1.0,237.0,0.0,1.0,0.0,1.0,27.0,0.0,spammer
894.0,10.0,50.0,5.0,0.0,215.0,0.0,1.0,0.0,1.0,23.0,0.0,spammer
1188.0,1.0,372.0,0.0,0.0,454.0,0.0,0.0,0.0,1.0,68.0,0.0,spammer
921.0,5.0,6.0,0.0,0.0,62.0,0.0,1.0,0.0,1.0,20.0,0.0,spammer
1040.0,0.0,222.0,0.0,0.0,63.0,0.0,1.0,0.0,1.0,20.0,0.0,spammer
1191.0,45.0,52.0,12.0,1.0,4354.0,0.0,0.0,0.0,1.0,36.0,0.0,spammer
815.0,0.0,0.0,0.0,0.0,63.0,0.0,1.0,0.0,1.0,27.0,0.0,spammer
944.0,2.0,61.0,0.0,0.0,65.0,0.0,1.0,0.0,1.0,22.0,0.0,spammer
930.0,2.0,13.0,0.0,0.0,63.0,0.0,1.0,0.0,1.0,28.0,0.0,spammer
972.0,0.0,0.0,0.0,0.0,56.0,0.0,1.0,0.0,1.0,21.0,0.0,spammer
1132.0,0.0,0.0,0.0,0.0,63.0,0.0,1.0,0.0,1.0,22.0,0.0,spammer
1409.0,2.0,45.0,0.0,0.0,64.0,0.0,1.0,0.0,1.0,21.0,0.0,spammer
446.0,1.0,2.0,0.0,0.0,66.0,0.0,1.0,0.0,1.0,31.0,0.0,spammer
1038.0,1.0,10.0,0.0,0.0,7100.0,0.0,1.0,0.0,1.0,31.0,0.0,spammer
720.0,4.0,25.0,20.0,0.0,67.0,0.0,1.0,0.0,1.0,20.0,0.0,spammer
1359.0,0.0,252.0,0.0,0.0,331.0,0.0,0.0,0.0,1.0,40.0,0.0,spammer
860.0,2.0,6.0,1.0,0.0,109.0,0.0,1.0,0.0,1.0,27.0,0.0,spammer
1376.0,31.0,134.0,1.0,0.0,68.0,0.0,1.0,0.0,1.0,26.0,0.0,spammer
765.0,17.0,573.0,23.0,0.0,72.0,0.0,1.0,0.0,1.0,23.0,0.0,spammer
560.0,6.0,43.0,0.0,0.0,333.0,0.0,0.0,0.0,1.0,38.0,0.0,spammer
803.0,6.0,758.0,2.0,0.0,73.0,0.0,1.0,0.0,1.0,19.0,0.0,spammer
1295.0,18.0,78.0,395.0,0.0,530.0,0.0,1.0,0.0,1.0,11.0,0.0,spammer
926.0,8.0,33.0,0.0,0.0,71.0,0.0,1.0,0.0,1.0,43.0,4.0,spammer
1889.0,8.0,32.0,0.0,0.0,67.0,0.0,1.0,0.0,1.0,50.0,4.0,spammer
1395.0,1.0,13.0,0.0,0.0,63.0,0.0,1.0,0.0,1.0,19.0,0.0,spammer
601.0,0.0,13.0,3.0,0.0,68.0,0.0,1.0,0.0,1.0,46.0,0.0,spammer
1253.0,21.0,21.0,0.0,1.0,232.0,0.0,1.0,0.0,1.0,21.0,0.0,spammer
933.0,0.0,2.0,0.0,0.0,63.0,0.0,1.0,0.0,1.0,21.0,0.0,spammer
961.0,0.0,0.0,0.0,0.0,121.0,0.0,1.0,0.0,1.0,20.0,0.0,spammer
1810.0,1473.0,280.0,4.0,94.0,6510.0,0.0,1.0,0.0,1.0,34.0,0.0,spammer
1155.0,0.0,191.0,0.0,0.0,65.0,0.0,1.0,0.0,1.0,40.0,0.0,spammer
928.0,1.0,0.0,0.0,0.0,64.0,0.0,1.0,0.0,1.0,28.0,0.0,spammer
1257.0,0.0,3.0,0.0,0.0,63.0,0.0,1.0,0.0,1.0,11.0,0.0,spammer
324.0,0.0,0.0,0.0,0.0,65.0,0.0,1.0,0.0,1.0,12.0,0.0,spammer
486.0,19.0,113.0,0.0,0.0,95.0,0.0,1.0,0.0,1.0,27.0,0.0,spammer
343.0,0.0,0.0,0.0,0.0,62.0,0.0,1.0,0.0,1.0,22.0,0.0,spammer
1700.0,4.0,0.0,0.0,0.0,62.0,0.0,1.0,0.0,1.0,21.0,0.0,spammer
798.0,0.0,2.0,0.0,0.0,338.0,0.0,0.0,0.0,1.0,34.0,8.0,spammer
890.0,0.0,8.0,0.0,0.0,87.0,0.0,1.0,0.0,1.0,23.0,0.0,spammer
1155.0,0.0,3.0,0.0,0.0,69.0,0.0,1.0,0.0,1.0,20.0,0.0,spammer
1272.0,5.0,412.0,0.0,0.0,71.0,0.0,1.0,0.0,1.0,27.0,0.0,spammer
199.0,0.0,10.0,0.0,0.0,62.0,0.0,1.0,0.0,1.0,31.0,0.0,spammer
689.0,0.0,0.0,0.0,0.0,65.0,0.0,1.0,0.0,1.0,23.0,0.0,spammer
896.0,9.0,42.0,1.0,0.0,80.0,0.0,1.0,0.0,1.0,22.0,0.0,spammer
1629.0,0.0,4.0,0.0,0.0,308.0,0.0,0.0,0.0,1.0,21.0,2.0,spammer
1673.0,2.0,0.0,0.0,0.0,62.0,0.0,1.0,0.0,1.0,27.0,0.0,spammer
1431.0,3.0,2.0,1.0,0.0,64.0,0.0,1.0,0.0,1.0,28.0,0.0,spammer
1766.0,3.0,3.0,1.0,0.0,63.0,0.0,1.0,0.0,1.0,16.0,0.0,spammer
1425.0,24.0,454.0,0.0,0.0,64.0,0.0,1.0,0.0,1.0,24.0,0.0,spammer
837.0,0.0,0.0,0.0,0.0,61.0,0.0,1.0,0.0,1.0,37.0,0.0,spammer
248.0,0.0,0.0,0.0,0.0,73.0,0.0,1.0,0.0,1.0,14.0,0.0,spammer
